Type,Sentence,Choice,Correct,Time Spent (s),Age,Gender,Expertise
kebab-case,move down,Incorrect,Incorrect,4.18,27,male,expert
kebab-case,move up,move-up,Correct,1.358,27,male,expert
kebab-case,move left,move-left,Correct,2.113,27,male,expert
kebab-case,set error message,Incorrect,Incorrect,1.668,27,male,expert
kebab-case,print formatted info,print-formatted-info,Correct,3.197,27,male,expert
kebab-case,create string array,create-string-array,Correct,2.51,27,male,expert
kebab-case,handle default error message,handle-default-error-message,Correct,2.077,27,male,expert
kebab-case,return format on click,return-format-on-click,Correct,3.694,27,male,expert
kebab-case,format info into normal,Incorrect,Incorrect,3.743,27,male,expert
camelCase,move right,moveRight,Correct,2.973,27,male,expert
camelCase,back up,backUp,Correct,1.564,27,male,expert
camelCase,back down,backDown,Correct,2.916,27,male,expert
camelCase,set profile information,Incorrect,Incorrect,2.454,27,male,expert
camelCase,create integer array,createIntegerArray,Correct,2.693,27,male,expert
camelCase,handle submit form,handleSubmitForm,Correct,2.551,27,male,expert
camelCase,return format on click,Incorrect,Incorrect,2.917,27,male,expert
camelCase,handle default state change,handleDefaultStateChange,Correct,2.366,27,male,expert
camelCase,print info to csv,Incorrect,Incorrect,2.704,27,male,expert
